page_name,page_created,total_interactions,likes,comments,shares,message
Haines Glacier Bears,2010-01-16T06:52:14Z,0,0,0,0,Yeah! Haines won all the games tonight
Pulaski County Special School District,2010-01-12T16:48:17Z,4,4,0,0,"Thank you to our first 100 facebook fans for joining us! We're excited to have this new form of communication to ""talk"" to all of you ... and let you know about the latest and greatest at PCSSD. Hope you're all having a fantastic weekend!"
Gilroy High School,2009-09-19T21:11:09Z,2,1,1,0,"A reminder of the coming week's schedule. Monday: No School; Tuesday: 1-6; Wednesday: 2,4,6; Thursday: 1,3,5; Friday: No School."
U.S. Environmental Protection Agency,2008-12-15T05:42:30Z,2,2,0,0,"For those trying to contact U.S. citizen friends and relatives in Haiti, email inquiries to: Haiti-Earthquake@State.Gov"
U.S. Environmental Protection Agency,2008-12-15T05:42:30Z,5,4,1,0,Person Finder tool helps individuals find loved ones in #Haiti. You can embed this tool on your site:
Greater Brunswick Charter School,2009-06-26T00:31:20Z,2,0,2,0,"Reminder: No school on Monday, in honor of Martin Luther King Jr. Day."
L'Anse Purple Hornet Football,2010-01-01T22:14:34Z,0,0,0,0,"Got weights? Monday, Wednesday, Friday.....3:30 - 5:00"
Haines Glacier Bears,2010-01-16T06:52:14Z,5,2,3,0,"Come watch the action as the Lady Glacier Bears take on the Mt. Edgecumbe Braves TONIGHT Game times: JV @6:00, Varsity @7:30pm"
Envision Education,2008-07-14T22:10:55Z,2,2,0,0,"UC Berkeley Prof. Bruce Fuller in SF Chronicle: ""Stellar nonprofits, like San Francisco's Envision Schools and New York's KIPP academies, show remarkable results."""
Envision Education,2008-07-14T22:10:55Z,2,1,1,0,Envision Schools featured in SF Chron by Cal Prof. Bruce Fuller: The four 'R's' - a charter school that works.
Henry Ford Academy: Alameda School for Art + Design,2009-08-13T23:21:22Z,2,2,0,0,Check out the new HFA: Alameda School for Art + Design t-shirt. Designed by our very own Gary G. Shirts are on sale for $10.00.
Rock Island/Milan School District 41,2009-06-06T00:24:17Z,0,0,0,0,Three Rocky students complete their projects for the Thoms Above & Beyond Scholarship http://bit.ly/6ahWTr:=:http://rockislandschools.org/rinews/index.php?option=com_content&task=view&id=455&Itemid=1
Facebook,2007-11-07T22:51:32Z,3906,3446,458,1,"Beware of scams and hoaxes and ensure that your donations for Haiti get to the right places. Contrary to a current meme, Facebook is not donating $1 for statuses, however we are sharing reputable resources via the ""Other Pages"" tab on the Global Disaster Relief on Facebook Page."
San Diego Unified School District,2009-06-05T23:27:03Z,1,1,0,0,"IN THE NEWS: ""They Want to Feel Like a Kid"""
DC Public Schools,2009-12-17T16:21:02Z,0,0,0,0,Changes coming to the DCPS website next week! Learn how we're making the site more friendly for parents and families. http://bit.ly/73azed:=:https://dcps.dc.gov/DCPS/About+DCPS/Press+Releases+and+Announcements/General+Announcements/Changes+Coming+to+the+DCPS+Website
Ozarks Technical Community College,2008-09-10T14:47:44Z,7,7,0,0,OTC students will benefit from the chance at more scholarships thanks to area business leaders!
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=2900
Middletown City Schools,2009-11-16T16:17:34Z,0,0,0,0,"The MHS student newspaper, ""The Middletonian,"" is now online. The hope is that by breaking away from the print edition of the newspaper, students will be able to report on things that are current in a more timely manner. The Middletonian is available to the public by going to the MHS home page http://www.middletowncityschools.com/schools/mhs/. Click on ""The Middletonian"" under the ""What's Inside"" heading."
San Francisco Unified School District,2009-06-18T18:24:09Z,0,0,0,0,In the News: Summer classes face budget ax
Leonardo da Vinci Health Sciences Charter School,2009-10-03T03:08:07Z,2,2,0,0,Wondering if your child is eating enough fruit? Try this nutrition calculator and let us know what you think...
Gilroy High School,2009-09-19T21:11:09Z,10,9,1,0,Congratulations to the Boys Varsity basketball team on their 64-53 win over Hollister tonight! We beat the Balers!
Gilroy High School,2009-09-19T21:11:09Z,6,6,0,0,Congratulations to Boys JV Basketball for their 57-52 win over Hollister tonight!
Forest Grove School District,2009-11-13T05:01:00Z,2,1,1,0,"FGHS students were featured on KATU's ""Everyday Heroes"" tonight. Check out the video clip!"
Buna Beacon,2010-01-11T22:39:38Z,1,1,0,0,Guess the 60 degrees was a fluke! Everyone be safe and stay warm this weekend!
South Valley Preparatory School,2009-10-10T03:38:43Z,0,0,0,0,Applications for next school year are now available at the SVPS webpage: southvalleypreparatory.pbworks.com! Simply download the application and follow the instructions for submitting the application.
Sequoia Union High School District,2009-08-24T23:31:26Z,0,0,0,0,"District office and schools closed on Monday in observance of Martin Luther King, Jr. Day."
Cornerstone Academy,2009-04-10T14:26:34Z,0,0,0,0,Literacy night was wonderful; thank you to the many families that attended!
BakerRipley,2009-01-21T21:41:21Z,1,1,0,0,"MLK Day of Service is coming.... Shell volunteers will be at Ripley House, pictures to follow!"
BakerRipley,2009-01-21T21:41:21Z,1,1,0,0,We're looking for Houstonians or Houston-based businesses that would want to be a part of our first ever photo contest as judges and sponsors. Could that be you? Contact bbrowne@neighborhood-centers.org
Aurora Public Schools,2009-04-14T18:09:02Z,0,0,0,0,APS Earns $1.6M Grant for Compass Program
Gilroy High School,2009-09-19T21:11:09Z,3,1,2,0,"Boys basketball faces Hollister tonight. JV begins at 5:30 and Varsity starts at 7:00. Come, support, and show your Mustang Pride!"
Facebook,2007-11-07T22:51:32Z,2607,2239,364,3,"Former President Bill Clinton filmed this video telling Facebook users how they could help the Haiti relief effort, including joining Global Disaster Relief on Facebook."
Fort Worth ISD,2009-02-03T02:52:21Z,1,0,1,0,Superintendent Melody Johnson shares what's been done -- and will continue to be done-- after a conversion to a comprehensive management system.
Fort Worth ISD,2009-02-03T02:52:21Z,0,0,0,0,"releases the internal audit of the transition to a new comprehensive management system. We'll also post Dr. Johnson's message to employees about the audit, and what's been done to address all systemic issues."
Merrill Area Public Schools,2009-12-12T03:15:42Z,3,1,2,0,Looking for something to do tonight? Our boys are playing basketball against Medford at home. Games at 5:45 & 7:00 p.m.
Mount Prospect School District 57,2009-10-02T19:18:08Z,0,0,0,0,"No School Monday, January 18th"
Clearfield High School,2009-01-21T23:25:16Z,7,3,4,0,hopes to win at Viewmont tonight!
Vancouver Public Schools,2009-09-30T17:32:13Z,4,3,1,0,"Schools are closed on Monday, January 18, in observance of Dr. Martin Luther King’s birthday. Students and staff are honoring the civil rights leader with a variety of activities."
PA Cyber Charter School,2009-06-23T16:43:03Z,14,13,1,0,"Have a great weekend, everyone! Remember, Martin Luther King day is Monday so no virtual class. Enjoy the three day weekend."
Albuquerque Public Schools,2009-08-26T18:49:10Z,8,6,2,0,"Congratulations to Rio Grande High's students and staff for a great first semester. According to Principal Linda Torres, 55 percent more students were eligible to participate in extracurricular activities by maintaining a 2.0 or better GPA during the fall semester than did last spring. Yeah Ravens. Way to go!"
Community Consolidated School District 46 - CCSD 46,2009-08-06T21:48:57Z,2,2,0,0,"Reminder - No school on Monday, January 18th in honor of Dr. Martin Luther King, Jr.'s birthday. Enjoy the three-day weekend!"
Facing History and Ourselves,2008-04-29T21:00:52Z,7,6,1,0,"In honor of Martin Luther King, Jr. Day, check out our civil rights resources."
Lake County International Charter School,2010-01-13T17:41:46Z,1,1,0,0,NA
Royal Oak Schools,2009-04-23T20:13:30Z,0,0,0,0,A Special Section of The Oakland Press - Discover the Royal Oak Neighborhood Schools Difference: http://www.royaloakschools.com/portal/node/28330
Little Rock School District,2008-12-15T15:02:21Z,0,0,0,0,LRSD Spotlight: Siteng Ma is named an Intel Science Semifinalist
Little Rock School District,2008-12-15T15:02:21Z,3,0,3,0,LRSD Spotlight: Central statistics students win competition
Lake County International Charter School,2010-01-13T17:41:46Z,1,1,0,0,NA
Newport News Public Schools,2009-03-25T13:10:32Z,7,7,0,0,"All NN schools and offices are closed Monday, Jan. 18 for Martin Luther King Day."
University of Arkansas Community College at Morrilton,2008-06-24T13:01:33Z,0,0,0,0,Have a great LONG weekend! See ya Tuesday!
Ozarks Technical Community College,2008-09-10T14:47:44Z,5,5,0,0,"Disability Support Services is collecting items for the people of Haiti. We are working with area churches and the Convoy of Hope. The items needed include: summer clothing, shoes and first aid items. (band-aids, gauze, peroxide, etc). Donations can be delivered to Disability Support Services, ICE 127. For more information, call 447-8190 or email thomasam@otc.edu"
Wolf Creek Online High School,2009-01-23T17:25:37Z,0,0,0,0,has no new fans today...spread the word...suggest our page to your friends!
Spectrum Academy Charter School,2009-07-07T04:04:33Z,8,6,2,0,Todays lottery draw results for 2010-2011 enrollment are now posted on our website. We still have 15 openings for 9th grade and 30 openings for 10th grade.
Noah Webster Schools,2010-01-15T20:47:05Z,1,1,0,0,"Welcome to the new official Facebook page for Noah Webster Basic School. The main intent of this page is keep our families informed about events and happenings at the school, but please don't hesitate to suggest us to your friends and family as well. Enjoy the three day weekend!"
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,"In the News Tribune’s Swimming Honor Roll, published today, Jack Malban of Duluth is fifth in the 200 Individual Medley (2:21.59), and Anthony Vecchi is second in the 100 Butterfly (58.92) and third in the 100 Breaststroke (1:11.09). Duluth is fourth in the 200 Yard Medley Relay (1:53.02) and 200 Freestyle Relay (1:40.13) and fifth in the 400 Freestyle Relay (3:49.8)."
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,Duluth Northern Stars goaltender Paige Turner is first in saves percentage (.946) and second in goals-against (1.67).
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,"Keith Tomassoni and Levi Talarico of Duluth Denfeld are tied for eighth in boys hockey scoring, with 25 points each. Freshman goaltender Zach Thompson is first in goals-against average (1.39) and saves percentage (.944). Jo Jo Jeannetta of Duluth East is sixth in goals against (2.32)."
Thurgood Marshall Academy,2009-10-07T19:16:48Z,0,0,0,0,"Don't forget: This MONDAY, January 18th, is our MLK Day College Scholarship Application Event! Come and learn about a variety of opportunities: http://www.idealist.org/if/i/en/av/VolunteerOpportunity/187258-289:=:https://www.idealist.org/if/i/en/av/VolunteerOpportunity/187258-289"
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,Mary VonRueden of Duluth Central is fifth in girls basketball scoring at 12.92 points and fourth in steals at 3.92 per game.
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,"Duluth East senior guard Dyami Starks, who will attend Columbia University on a basketball scholarship starting next fall, ranks first among northeastern Minnesota-northwestern Wisconsin players in scoring average at 30.5 points per game, according to prep statistics published today in the News Tribune. Greyhounds teammates Johnny Woodard (19.0) and Nick Toland (13.2) rank fifth and eighth, respectively."
KIPP NYC,2008-10-02T13:59:12Z,0,0,0,0,Read our latest Friends of KIPP NYC newsletter!
Thurgood Marshall Academy,2009-10-07T19:16:48Z,1,1,0,0,"TOMORROW, Saturday January 16--come see the Warriors take on Washington Math & Science, 1pm! See you on our home court!"
University of Arkansas Community College at Morrilton,2008-06-24T13:01:33Z,0,0,0,0,support the arts. heal the world. http://thecampuslink.blogspot.com/2010/01/support-arts-heal-world.html
Great Valley Academy - Modesto,2009-08-27T23:24:45Z,10,8,2,0,Enjoy the 3 day weekend! We look forward to seeing everyone back on Tuesday!
Duval County Public Schools,2009-05-21T17:55:27Z,0,0,0,0,"Nineteen elementary and middle school students have been selected to represent Duval County in the county Spelling Bee on Tuesday, January 26, at 6 p.m. at Mandarin Middle School."
Plainview Independent School District,2009-12-04T15:15:56Z,1,1,0,0,"PHS T.A.F.E.(Texas Association of Future Educators) will be at Wal-Mart on Sat. January 23. They are helping CASA in the ""MyPak"" program for foster kids. They need donated items (water bottles, crackers, toothbrushes, toothpaste, combs, deodorant, soap, shampoo, etc) to fill the backpacks. A complete list can be found on the Plvw ISD website. Donations can be dropped off during January- PHS Room 139."
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,"Duluth East senior guard Dyami Starks, who will attend Columbia University on a basketball scholarship starting next fall, ranks first among northeastern Minnesota-northwestern Wisconsin players in scoring average at 30.5 points per game, according to prep statistics published today in the News Tribune. Greyhounds teammates Johnny Woodard (19.0) and Nick Toland (13.2) rank fifth and eight, respectively."
U.S. Environmental Protection Agency,2008-12-15T05:42:30Z,21,11,10,0,Want to help Haiti? Here's info from the White House.
Ozarks Technical Community College,2008-09-10T14:47:44Z,7,0,7,0,"Do we have any OTC students, faculty or staff with connections to Haiti. Any family or friends there? Anyone here taking up a collection for the victims? Let us know."
Ozarks Technical Community College,2008-09-10T14:47:44Z,0,0,0,0,"It maybe winter but at OTC, we're thinking spring. http://tinyurl.com/y9vd3bz:=:https://www.news-leader.com/errors/404/"
Pendleton School District 16R,2009-07-14T21:04:18Z,3,2,1,0,"No school on Monday, January 18th in observance of Martin Luther King Day. Enjoy the three day weekend..."
Florida Virtual School - FLVS,2009-05-15T16:04:35Z,16,4,12,0,Happy Friday FLVS Facebook fans! Any cool plans this weekend? FLVS will be at Otronicon at the Orlando Science Center. Showcasing our Conspiracy Code American History game course!
Derby Public Schools,2009-12-07T21:06:57Z,10,9,1,0,"Derby Public Schools will be closed on Monday, January 18 in observance of Martin Luther King Jr Day."
Little Rock School District,2008-12-15T15:02:21Z,0,0,0,0,Mentors make the difference!
Little Rock School District,2008-12-15T15:02:21Z,1,1,0,0,Clinton Center Coat Drive yields nearly 600 coats
Dublin Unified School District,2010-01-06T20:12:35Z,0,0,0,0,Tickets for the 22nd Annual Wells Middle School Crab Feed now on sale!
Hermiston School District 8R,2009-11-18T16:41:42Z,4,4,0,0,Monday is a holiday - Martin Luther King Jr. Day. There is no school on Monday. Enjoy your three day weekend!
Hermiston School District 8R,2009-11-18T16:41:42Z,0,0,0,0,Just released news from the District: Principal resignation permits district to shift personnel and reduce administration. Read the whole article on the District's Web site.
Vicksburg Community Schools,2009-12-09T15:13:06Z,4,4,0,0,Over $500 has been raised at Tobey for the Orphanage in Haiti. Now Sunset and Indian Lake elmentaries are raising money to help out. Great example of Bulldogs making a difference!
Vicksburg Community Schools,2009-12-09T15:13:06Z,1,1,0,0,Welcome all adult learners who are interested in completing their High School Diploma. Vicksburg is one of the leading High School Completion programs in the area for adults. Enrollment is going on now. Second semester starts January 25th. Call 321-1022 now.
Sojourner Truth Academy,2009-12-16T15:55:13Z,0,0,0,0,NA
Leavenworth USD 453,2009-10-22T22:36:32Z,1,1,0,0,"JROTC assembly yesterday rocked! Enjoy the pics...""first in the nation""!"
Sweetwater Union High School District,2009-11-05T19:49:22Z,1,1,0,0,"Reminder to students, parents and staff: schools will be closed in honor of the Martin Luther King, Jr. Holiday on Monday January 18, 2010. We hope you take some time to honor Dr. King and reflect on his message."
University of Arkansas Community College at Morrilton,2008-06-24T13:01:33Z,0,0,0,0,It's lunchtime! Head down to the UACCM Plaza to check out what they're offering today. See the weekly menu here: http://www.uaccm.edu/Plaza/index.htm
State of Delaware - Government,2009-02-27T02:46:45Z,1,1,0,0,Commissioner Stewart Announces Changes To Defensive Driving Program
KIPP DC,2009-04-15T19:12:58Z,0,0,0,0,Monday is the last day to purchase March Madness Benefit tickets at the special rate of 2 tickets for $250! Team up with KIPP DC to end the achievement gap.
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=2855
Forest Grove School District,2009-11-13T05:01:00Z,0,0,0,0,Want to make a difference? Joseph Gale needs lunch buddies -- people who would be willing to have lunch with an assigned student once a week. These are wonderful kids who just need a little extra adult attention. Email cmaloch@fgsd.k12.or.us if you can help!
University of Arkansas Community College at Morrilton,2008-06-24T13:01:33Z,0,0,0,0,Got books to sell/need to buy some? Post them on our wall to see if you get any nibbles!
Community Consolidated School District 46 - CCSD 46,2009-08-06T21:48:57Z,0,0,0,0,There's still time to order your Meadowview School Yearbook! The ordering deadline has been extended to January 30th! Visit the MV News page for more information.
Arts Council of Fayetteville,2009-01-05T20:06:07Z,0,0,0,0,Did you know by being a member of the Arts Council you have the opportunity to make a difference in other arts related organizations in our community? Check out our website at www.theartscouncil.com to find out more on this topic.
Roanoke City Public Schools,2008-07-18T13:50:50Z,4,4,0,0,Patrick Henry students Raise Support for Victims in Haiti
Salem-Keizer Public Schools,2009-03-23T15:25:28Z,1,1,0,0,Just a reminder ... this Monday is a holiday (January 18). Schools and district offices are closed.
Delavan-Darien School District,2009-10-14T21:20:13Z,1,0,1,0,Comet wrestlers lose dual meet to undefeated Burlington — http://bit.ly/7vMJeL:=:https://ddschools.wordpress.com/2010/01/15/burlington-pins-comets-in-dual/
Key Hyundai of Milford,2009-07-08T20:19:38Z,1,1,0,0,Making sure that your vehicle has the correct amount of oil is very important so check out our video on how to check your oil!
James Irwin Charter Schools,2009-10-21T20:30:03Z,0,0,0,0,Get your yearbooks NOW! http://bit.ly/5TC93g:=:https://www.jamesirwin.org/blog/2010/01/get-your-yearbooks-now/
DC Public Schools,2009-12-17T16:21:02Z,3,3,0,0,NA
"Springfield Public Schools, Springfield, MO",2009-09-21T21:22:17Z,29,15,14,0,"Parkview and Central were recognized at this week's board meeting for being named two of America's top high schools by U.S. News and World Report. Here are the principals from those two schools talking more about the award and thanking the staff, students and parents at their schools."
Atlas Preparatory School,2008-11-24T01:04:55Z,0,0,0,0,cRaZY hAIr DAy tOdAY! Pictures to come...
"Union Public Schools - Tulsa, OK",2009-10-08T03:50:56Z,0,0,0,0,The top seniors and juniors have been announced for Mr. and Miss Union. The coronation for Mr. and Miss Union has also been changed. Coronation now will be on March 25. Click the link below to learn the names of the finalists.
Wauwatosa School District,2009-07-15T17:59:25Z,0,0,0,0,"Looking for something to do this weekend? Check out the Children's Theatre of Wauwatosa Teen Troupe's production of ""Beauty and the Beast"" at 2 p.m. at West High School. Tickets will be available at the box office beginning at 1:30 p.m. The Tosa East Athletic Booster Club will host a family-style spaghetti dinner from 5-7:30 p.m. at East High School prior to the East vs. West boys basketball game."
Wauwatosa School District,2009-07-15T17:59:25Z,0,0,0,0,"Underwood Elementary's PTA will be sponsoring a Family Fun Night tonight from 5-7 p.m. at the school. Students accompanied by parents will enjoy games, a moonwalk, a D.J. and treats. Jefferson Elementary families will enjoy an evening of skating fun at the PTA sponsored all-school ice skate at the Pettit Center from 7-9 p.m. Sounds like a lot of fun!"
Illinois State Board of Education,2009-09-11T17:54:05Z,0,0,0,0,Watch for the new Weekly Message on Tuesday (offices are closed Monday for Martin Luther King Jr. Day). Next week's newsletter will include information on this year’s Statewide No Child Left Behind Conference and items on a poster contest for elementary students and how to nominate your favorite history teacher for an award.
School District 54,2009-08-04T18:58:55Z,0,0,0,0,Support environmental education programs in School District 54 and feed your feathered friends at the same time by ordering birdseed from the District 54 Nature Center.
Chapel Hill-Carrboro City Schools,2009-07-27T14:48:50Z,1,1,0,0,Smith Middle School to host 9th annual Cultural Performance Night. Details at http://tinyurl.com/ybvu3dt:=:http://www2.chccs.k12.nc.us/education/components/board/default.php?sectiondetailid=73134&postid=52802&#postid-52802
Mobile County Public Schools,2009-06-22T09:57:48Z,1,1,0,0,The Sounds of Satsuma Acappella Chorus made the top three finalists to perform at the Senior Bowl out of 67 individuals/groups! If you missed their performance you can visit http://download.wkrg.com/01-13-2010_satsuma.mp4 to view it. Please help them with your votes.
Merrill Area Public Schools,2009-12-12T03:15:42Z,2,0,2,0,We know how to have fun in our schools! Jefferson - School Spirit Day (Theme Chosen by Grade 1); Washington School - Beach Party Day; Pine River School Spirit Day
Facing History and Ourselves,2008-04-29T21:00:52Z,8,7,1,0,We are thinking of our friends and colleagues in Haiti who have suffered through the earthquake. We encourage you to be generous in your support of people who need your help.
Midlothian ISD,2009-10-07T19:20:53Z,0,0,0,0,Sign up for MISD's Connections E-Newsletter for up-to-date information. http://ow.ly/WO8p:=:http://www.midlothian-isd.net/district/enews.html - Jan. '10 edition: http://ow.ly/WO7r:=:http://archive.constantcontact.com/fs074/1102727707480/archive/1102936957977.html
Delavan-Darien School District,2009-10-14T21:20:13Z,0,0,0,0,Rough night for Comets basketball as both teams lose. Game summaries at — http://bit.ly/7P6idf:=:https://ddschools.wordpress.com/2010/01/15/basketball-teams-both-fall-thursday/
Derby Public Schools,2009-12-07T21:06:57Z,1,1,0,0,"The Derby High School homecoming ceremony is tonight at the varsity boy's basketball game, starting at 7:30 pm. The homecoming queen will be crowned during halftime. Congratulations to all the homecoming queen candidates; Brylee Beiswanger, Mikala Payne, Alex Prather, Alyssa Robinson, Korie Showalter and Chloe Wheeler! Are you planning on attending tonight's game?"
Bethel Hill Charter School,2009-07-31T15:37:33Z,0,0,0,0,"Reminder - there is no school Monday. The snow make up day will be on Jan. 28th for a half day. Conferences will be that afternoon and evening. Also, if you have not gotten in your student's registration for returning students form (green form) or a sibbling Kindergarten application please do so asap. The dead line for those forms are Jan. 28th."
University of Arkansas Community College at Morrilton,2008-06-24T13:01:33Z,2,2,0,0,"3-day wknd coming up! Remember: no classes Monday for MLK, Jr. Day. I'm sure you all forgot, right?"
Georgia Department of Education,2009-05-07T19:50:06Z,1,1,0,0,Georgia's Charter School Law was ranked 4th in the nation! View the press release here: http://tinyurl.com/GaCharterLaw:=:https://www.gadoe.org/pea_communications.aspx?ViewMode=1&obj=1905
PA Cyber Charter School,2009-06-23T16:43:03Z,4,4,0,0,"Our thoughts and prayers continue to be with the people of Haiti. Do you know anyone affected by this weeks events? Are you or someone you know assisting with relief efforts? For more information on how you can get involved, go to www.redcross.org.:=:https://www.redcross.org/"
Fort Worth ISD,2009-02-03T02:52:21Z,2,2,0,0,"invites you to become a fan of the Young Women's Leadership Academy, the District's first single-gender school. Read more below."
Fort Worth ISD,2009-02-03T02:52:21Z,2,1,1,0,Wall of Fame inductees this week are T Bone Burnett and the late Stephen Bruton. Read more about these extraordinary musicians below.
Pace Center for Girls,2009-03-07T01:46:10Z,1,0,1,0,25th Anniversary Celebration photos from Jacksonville.com
K12,2007-12-06T04:08:40Z,6,4,2,0,An interesting Wall Street Journal post about texting donations. May not be as immediate as it feels... http://blogs.wsj.com/digits/2010/01/14/texting-donations/:=:http://blogs.wsj.com/digits/2010/01/14/texting-donation/
Gilroy High School,2009-09-19T21:11:09Z,3,2,1,0,"Boys basket ball Vs Hollister tomorrow freshman at 4, J.V.-5:30 Varsity-7:00 come to the game and show your mustang pride"
Leonardo da Vinci Health Sciences Charter School,2009-10-03T03:08:07Z,0,0,0,0,Big thanks to everyone who came to today's Technology Committee meeting!
Enid Public Schools,2009-05-20T04:33:43Z,0,0,0,0,"Reminder: It's a three-day weekend for students. Monday is a professional day, and teachers will be in workshops -- learning even more about quality and effective instruction! We look forward to seeing students again on Tuesday!"
West-MEC,2009-07-10T22:13:50Z,0,0,0,0,"Listen to Beth & Bill on KEZ 99.9 FM @ 6:50am & 7:50am, Friday morning. Marty Manning will be broadcasting from the DVHS Nursing program."
Wolf Creek Online High School,2009-01-23T17:25:37Z,3,0,3,0,forgot to tell you all about late lab tonight but somehow several students knew about it.
PA Cyber Charter School,2009-06-23T16:43:03Z,1,1,0,0,"Be sure to check out Amy Colalella on KDKA's morning show Friday morning talking about her music and being in the top two of the Miley Cyrus ""Be A Star"" contest."
Delsea Regional High School,2008-05-11T20:34:02Z,0,0,0,0,"Attention Seniors; Tmrw Is Your Last Day To Turn In Your Year Book Pages, See Mrs. Dickson in S211 for more information."
Everett Public Schools.WA,2010-01-14T23:57:54Z,1,1,0,0,"Vote Feb. 9, 2010! http://bit.ly/EPS_Levy2010:=:https://www.everettsd.org/"
Little Rock School District,2008-12-15T15:02:21Z,2,0,2,0,Anderson named principal of Roberts Elementary
Dublin Unified School District,2010-01-06T20:12:35Z,0,0,0,0,Support Dublin High School's animation class by voting for their video in the Got Milk contest!
Dublin Unified School District,2010-01-06T20:12:35Z,1,1,0,0,"Check on Thursday's ""Around Dublin"" column to read great news about Dublin High School."
Enid Public Schools,2009-05-20T04:33:43Z,5,4,1,0,Congratulations to Martha O'Banion! The Hoover music teacher was named recently named a 2009 Exemplary Teacher by the Oklahoma Music Education Association. That's music to our ears!
Iredell-Statesville Schools,2009-11-02T22:47:08Z,2,2,0,0,LNHS senior Kane Sherrill and WIHS senior P.J. Clyburn are both recognized for their career achievements in football. Read more about it here: http://iss.schoolwires.com/iss/cwp/view.asp?A=3&Q=458832:=:https://www.iss.k12.nc.us/iss/cwp/view.asp?A=3&Q=458832
KIPP New Jersey Public Schools,2008-04-11T15:21:24Z,10,8,2,0,Congratulations NCA! Watch a time-lapse of the new athletic bubble inflate - NCA's first own gymnasium.
Ozarka College,2009-01-13T17:16:41Z,2,2,0,0,Visitation and funeral services for Kevin Johnson will be held in the John E. Miller Auditorium. Ozarka extends condolences to the Johnson family and friends.
Forest Grove School District,2009-11-13T05:01:00Z,0,0,0,0,We're looking for presenters for our annual Soar With Your Dreams career conference on March 13. The sessions will be in the morning and need to be hands-on and highlight a particular career. The audience is fifth through eighth graders. Fun day! Email cpotter@fgsd.k12.or.us if you can help!
Iredell-Statesville Schools,2009-11-02T22:47:08Z,0,0,0,0,The board of education celebrated the career achievements Lake Norman High School senior Kane Sherrill. For more info: http://iss.schoolwires.com/iss/cwp/view.asp?A=3&Q=458832:=:https://www.iss.k12.nc.us/iss/cwp/view.asp?A=3&Q=458832
Ozarks Technical Community College,2008-09-10T14:47:44Z,0,0,0,0,New photos are online from the first week of classes! Come tag yourself now - and watch for our camera throughout the year!
Illinois State Board of Education,2009-09-11T17:54:05Z,0,0,0,0,ISBE recommends a FY 2011 budget to the governor and General Assembly. Details at http://www.isbe.state.il.us/news/2010/jan14.htm.
Royal Oak Schools,2009-04-23T20:13:30Z,0,0,0,0,Help for Haiti - Shelterbox: http://www.royaloakschools.com/portal/node/28257
Midlothian ISD,2009-10-07T19:20:53Z,2,0,2,0,Be a Fan of Midlothian High School! GO PANTHERS!
"Springfield Public Schools, Springfield, MO",2009-09-21T21:22:17Z,5,5,0,0,"We're pleased to offer SPS' Facebook fans a $1 off coupon for admission to the Discovery Center, perfect for the upcoming long weekend. Just click on the link below or select the boxes tab at the top of our page, and print out the coupon. Be sure to tell others about this exclusive offer."
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=2846
Sojourner Truth Academy,2009-12-16T15:55:13Z,1,1,0,0,Help send STA students to Washington to invite President Obama to come to lunch at our school.
Pendleton School District 16R,2009-07-14T21:04:18Z,2,0,2,0,Girls' Basketball tomorrow night against Madras. Freshmand and JV at 5:15 Varsity at 7:00. Go Lady Bucks!
Royal Oak Schools,2009-04-23T20:13:30Z,0,0,0,0,2010 Parent Empowerment Series - Presented by Beaumont Children’s Hospital & Royal Oak Neighborhood Schools: http://www.royaloakschools.com/portal/node/28256
Intermediate District 287,2009-09-14T14:52:55Z,0,0,0,0,"Kelsey Voorhees, a student at Armstrong High School who receives services for the Deaf and Hard of Hearing (DHH) through District 287, was featured this week during a FOX 9 News report. Kelsey and District 287 interpreter Haley Hunter were interviewedabout Kelsey's extra curricula activities as a member of the Competitive ...Cheering Leading Team. Kelsey's team will be going to national competition next month in Orlando, Florida."
BART Charter Public School,2009-08-05T02:20:56Z,0,0,0,0,"For those who could not attend our Arts @ BArT reception last December, here is a short film."
Wauwatosa School District,2009-07-15T17:59:25Z,0,0,0,0,Wisconsin First Lady Jessica Doyle visited with students from the Tosa School of the Trades on Jan. 14. She talked to the students about the charter school and their future goals.
Roanoke City Public Schools,2008-07-18T13:50:50Z,0,0,0,0,"Photos from the January school board meeting, held on January 12, 2010."
BakerRipley,2009-01-21T21:41:21Z,1,1,0,0,Want to help the Haita earthquake relief efforts from Houston? Bring supplies or donations to the Haitian Multicultural Center - A drive is going on today through Saturday 7am-10pm at 9819 Bissonnet - near our Stay Connected office. More info - 832 894 6463.
Pulaski County Special School District,2010-01-12T16:48:17Z,0,0,0,0,"Don't miss open house for student registration in all schools on Jan. 28 from 9 a.m. to 2 p.m. See PCSSD schools in action! For more information, click here: http://www.pcssd.org/openhouse2010flyer.pdf"
